"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"96937099999","2020-01-01","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  83.5"," 6","  76.1"," 6","1011.7"," 6","011.3"," 6","  5.6"," 6","  4.0"," 6","  6.0","999.9","  90.7"," ","  79.0","*"," 0.04","A","999.9","010000"
"96937099999","2020-01-02","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  84.0"," 5","  76.0"," 5","1011.0"," 5","010.7"," 5","  5.5"," 5","  5.2"," 5","  9.9","999.9","  93.6"," ","  79.2","*"," 0.00","I","999.9","000000"
"96937099999","2020-01-03","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  85.4"," 5","  76.7"," 5","1008.7"," 5","008.3"," 5","  6.3"," 5","  5.2"," 5","  9.9","999.9","  90.3","*","  78.8"," "," 0.08","A","999.9","010000"
"96937099999","2020-01-05","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  81.1"," 4","  75.3"," 4","1008.6"," 4","008.2"," 4","  5.0"," 4","  6.0"," 4","  8.9","999.9","  95.2"," ","  77.0","*"," 0.63","A","999.9","010000"
"96937099999","2020-01-06","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  84.2"," 5","  76.2"," 5","1009.0"," 5","008.6"," 5","  6.0"," 5","  4.6"," 5","  8.0","999.9","  95.0","*","  75.6"," "," 0.28","A","999.9","000000"
"96937099999","2020-01-07","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  82.2"," 4","  76.8"," 4","1008.6"," 4","008.2"," 4","  5.3"," 4","  6.5"," 4","  9.9","999.9","  95.4"," ","  79.5","*"," 0.01","A","999.9","010010"
"96937099999","2020-01-09","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  82.8"," 5","  76.9"," 5","1007.8"," 5","007.4"," 5","  5.5"," 5","  3.2"," 5","  5.1","999.9","  89.8","*","  77.7","*"," 0.08","A","999.9","010000"
"96937099999","2020-01-10","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  82.6"," 8","  76.4"," 8","1007.9"," 8","007.7"," 8","  5.4"," 8","  3.0"," 8","  8.0","999.9","  91.4","*","  77.4"," "," 0.12","B","999.9","010010"
"96937099999","2020-01-11","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  83.1"," 5","  75.6"," 5","1008.6"," 5","008.2"," 5","  6.0"," 5","  6.2"," 5","  8.9","999.9","  93.9"," ","  79.5","*"," 0.24","A","999.9","010000"
"96937099999","2020-01-12","-7.2166667","113.7166667","3.0","SURABAYA GEDANGAN, ID","  84.1"," 6","  75.2"," 6","1007.0"," 6","006.6"," 6","  5.6"," 6","  6.3"," 6"," 11.1","999.9","  90.0","*","  79.2"," "," 0.00","I","999.9","000000"
