"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"48852099999","2020-01-01","16.4015","107.702614","14.63","PHUBAI, VM","  76.3","24","  72.4","24","9999.9"," 0","999.9"," 0","  5.4","24","  9.8","22"," 15.9","999.9","  80.6","*","  71.2"," "," 0.75","G","999.9","010000"
"48852099999","2020-01-02","16.4015","107.702614","14.63","PHUBAI, VM","  73.5","24","  72.0","24","9999.9"," 0","999.9"," 0","  3.6","24","  5.2","24","  9.9","999.9","  78.8","*","  69.6"," "," 1.06","G","999.9","010000"
"48852099999","2020-01-03","16.4015","107.702614","14.63","PHUBAI, VM","  73.2","24","  70.4","24","9999.9"," 0","999.9"," 0","  5.4","24","  4.3","24"," 12.0","999.9","  82.4","*","  68.7","*"," 0.14","G","999.9","010000"
"48852099999","2020-01-04","16.4015","107.702614","14.63","PHUBAI, VM","  73.7","24","  68.5","24","9999.9"," 0","999.9"," 0","  5.5","24","  4.8","23"," 13.0","999.9","  84.2","*","  67.1"," "," 0.03","G","999.9","010000"
"48852099999","2020-01-05","16.4015","107.702614","14.63","PHUBAI, VM","  75.4","24","  68.7","24","9999.9"," 0","999.9"," 0","  6.3","24","  5.4","24"," 12.0","999.9","  86.0","*","  66.0"," "," 0.01","G","999.9","000000"
"48852099999","2020-01-06","16.4015","107.702614","14.63","PHUBAI, VM","  75.5","24","  69.5","24","9999.9"," 0","999.9"," 0","  5.6","24","  4.1","24","  8.9","999.9","  84.2","*","  64.8"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-07","16.4015","107.702614","14.63","PHUBAI, VM","  77.7","24","  71.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  5.5","24"," 12.0","999.9","  86.0","*","  66.0"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-08","16.4015","107.702614","14.63","PHUBAI, VM","  77.1","24","  71.0","24","9999.9"," 0","999.9"," 0","  6.3","24","  4.7","24"," 11.1","999.9","  84.2","*","  70.2"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-09","16.4015","107.702614","14.63","PHUBAI, VM","  75.8","24","  69.3","24","9999.9"," 0","999.9"," 0","  5.2","24","  4.4","24","  9.9","999.9","  87.8","*","  65.3","*"," 0.00","G","999.9","000000"
"48852099999","2020-01-10","16.4015","107.702614","14.63","PHUBAI, VM","  76.0","24","  69.2","24","9999.9"," 0","999.9"," 0","  5.8","24","  4.9","23","  9.9","999.9","  87.8","*","  64.0"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-11","16.4015","107.702614","14.63","PHUBAI, VM","  76.1","24","  69.7","24","9999.9"," 0","999.9"," 0","  5.7","24","  4.2","23","  8.9","999.9","  86.0","*","  66.9"," "," 0.00","I","999.9","000000"
"48852099999","2020-01-12","16.4015","107.702614","14.63","PHUBAI, VM","  76.0","24","  68.8","24","9999.9"," 0","999.9"," 0","  6.0","24","  4.5","24","  8.9","999.9","  86.0","*","  65.8"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-13","16.4015","107.702614","14.63","PHUBAI, VM","  74.1","24","  67.4","24","9999.9"," 0","999.9"," 0","  5.7","24","  6.9","23"," 14.0","999.9","  86.0","*","  64.4","*"," 0.00","G","999.9","000000"
"48852099999","2020-01-14","16.4015","107.702614","14.63","PHUBAI, VM","  74.7","24","  64.8","24","9999.9"," 0","999.9"," 0","  6.0","24","  5.8","24"," 13.0","999.9","  87.8","*","  61.9"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-15","16.4015","107.702614","14.63","PHUBAI, VM","  75.0","24","  66.8","24","9999.9"," 0","999.9"," 0","  6.1","24","  4.0","24","  9.9","999.9","  86.0","*","  61.5"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-16","16.4015","107.702614","14.63","PHUBAI, VM","  76.8","24","  69.6","24","9999.9"," 0","999.9"," 0","  4.9","24","  4.6","24","  9.9","999.9","  87.8","*","  63.1"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-17","16.4015","107.702614","14.63","PHUBAI, VM","  74.9","24","  68.3","24","9999.9"," 0","999.9"," 0","  4.1","24","  3.6","24","  8.9","999.9","  86.0","*","  65.1","*"," 0.00","G","999.9","000000"
"48852099999","2020-01-18","16.4015","107.702614","14.63","PHUBAI, VM","  75.3","24","  65.9","24","9999.9"," 0","999.9"," 0","  5.7","24","  4.6","24"," 11.1","999.9","  87.8","*","  64.0"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-19","16.4015","107.702614","14.63","PHUBAI, VM","  73.5","24","  65.2","24","9999.9"," 0","999.9"," 0","  6.4","24","  4.3","23"," 11.1","999.9","  86.0","*","  61.9"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-20","16.4015","107.702614","14.63","PHUBAI, VM","  74.0","24","  65.5","24","9999.9"," 0","999.9"," 0","  5.7","24","  5.3","24"," 12.0","999.9","  86.0","*","  60.3"," "," 0.00","I","999.9","000000"
"48852099999","2020-01-21","16.4015","107.702614","14.63","PHUBAI, VM","  74.4","24","  66.8","24","9999.9"," 0","999.9"," 0","  5.3","24","  4.9","24"," 14.0","999.9","  84.2","*","  61.7"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-22","16.4015","107.702614","14.63","PHUBAI, VM","  75.8","24","  68.3","24","9999.9"," 0","999.9"," 0","  5.6","24","  4.8","24","  9.9","999.9","  86.0","*","  63.7"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-23","16.4015","107.702614","14.63","PHUBAI, VM","  75.7","24","  69.2","24","9999.9"," 0","999.9"," 0","  4.5","24","  3.3","24","  7.0","999.9","  86.0","*","  64.2"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-24","16.4015","107.702614","14.63","PHUBAI, VM","  76.7","24","  70.4","24","9999.9"," 0","999.9"," 0","  5.3","24","  4.2","24","  9.9","999.9","  87.8","*","  66.0"," "," 0.00","G","999.9","000000"
"48852099999","2020-01-25","16.4015","107.702614","14.63","PHUBAI, VM","  77.7","24","  71.5","24","9999.9"," 0","999.9"," 0","  5.7","24","  4.5","24"," 14.0","999.9","  87.8","*","  66.0"," "," 0.00","G","999.9","010000"
"48852099999","2020-01-26","16.4015","107.702614","14.63","PHUBAI, VM","  65.7","24","  64.1","24","9999.9"," 0","999.9"," 0","  4.0","24","  8.2","24"," 14.0","999.9","  69.8","*","  63.5","*"," 0.12","G","999.9","010000"
"48852099999","2020-01-27","16.4015","107.702614","14.63","PHUBAI, VM","  65.1","24","  64.3","24","9999.9"," 0","999.9"," 0","  3.2","24","  5.6","24","  8.9","999.9","  68.0","*","  63.1"," "," 0.03","G","999.9","010000"
"48852099999","2020-01-28","16.4015","107.702614","14.63","PHUBAI, VM","  65.5","24","  64.4","24","9999.9"," 0","999.9"," 0","  3.1","24","  5.8","24","  8.0","999.9","  69.8","*","  63.1"," "," 0.35","G","999.9","010000"
"48852099999","2020-01-29","16.4015","107.702614","14.63","PHUBAI, VM","  63.7","24","  62.6","24","9999.9"," 0","999.9"," 0","  2.4","24","  7.9","24"," 11.1","999.9","  66.2","*","  61.7","*"," 0.55","G","999.9","010000"
