"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"53698099999","2020-01-01","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  26.7"," 7","   2.5"," 7","1031.8"," 7","020.0"," 7","  4.9"," 7","  3.0"," 7","  4.9"," 10.1","  34.9"," ","  13.6"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-02","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  28.9"," 7","   9.1"," 7","1031.7"," 7","020.0"," 7","  3.3"," 7","  2.5"," 7","  3.9","999.9","  38.1"," ","  20.3"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-03","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  33.4"," 7","  15.6"," 7","1028.3"," 7","016.8"," 7","  2.1"," 7","  3.6"," 7","  5.8","999.9","  44.6"," ","  20.5"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-04","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  35.6"," 7","  19.0"," 7","1029.3"," 7","017.8"," 7","  1.6"," 7","  4.3"," 7","  5.8","999.9","  44.6"," ","  22.3"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-05","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  30.8"," 7","  28.4"," 7","1029.9"," 7","018.3"," 7","  0.5"," 7","  3.4"," 7","  5.8","  9.7","  44.6"," ","  26.1"," "," 0.36","G","999.9","001000"
"53698099999","2020-01-06","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  30.8"," 7","  28.7"," 7","1025.8"," 7","014.2"," 7","  0.8"," 7","  2.7"," 6","  3.9","999.9","  35.2"," ","  24.1"," "," 0.00","G","  3.9","100000"
"53698099999","2020-01-07","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  30.8"," 7","  28.3"," 7","1027.0"," 7","015.4"," 7","  2.0"," 7","  2.3"," 7","  3.9"," 11.7","  37.8"," ","  23.2"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-08","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  27.9"," 7","  23.5"," 7","1029.7"," 7","018.0"," 7","  1.3"," 7","  3.3"," 7","  4.9","999.9","  38.7"," ","  19.6"," "," 0.00","G","  2.0","100000"
"53698099999","2020-01-09","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  26.7"," 7","  26.5"," 7","1027.8"," 7","016.0"," 7","  0.3"," 7","  3.0"," 7","  4.5","999.9","  38.7"," ","  18.9"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-10","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  26.9"," 7","  25.3"," 7","1026.8"," 7","015.2"," 7","  0.4"," 7","  3.1"," 7","  5.8","999.9","  32.7"," ","  21.0"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-11","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  26.7"," 6","  19.0"," 6","1027.1"," 6","015.4"," 6","  1.6"," 6","  2.9"," 6","  4.1"," 11.5","  32.7"," ","  19.8"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-12","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  27.5"," 7","  21.0"," 7","1025.1"," 7","013.4"," 7","  1.1"," 7","  2.4"," 7","  4.7","999.9","  33.6"," ","  18.3"," "," 0.00","G","  1.6","000000"
"53698099999","2020-01-13","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  28.9"," 6","  23.2"," 6","1027.4"," 6","015.8"," 6","  0.7"," 6","  2.9"," 6","  3.9","999.9","  35.6"," ","  19.0"," "," 0.00","G","  1.6","000000"
"53698099999","2020-01-14","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  23.6"," 7","  11.8"," 7","1030.7"," 7","018.9"," 7","  2.6"," 7","  3.8"," 7","  7.8"," 14.2","  35.6"," ","  10.6"," "," 0.00","G","999.9","100000"
"53698099999","2020-01-15","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  23.6"," 7","  19.9"," 7","1031.2"," 7","019.4"," 7","  0.6"," 7","  2.4"," 6","  5.1","999.9","  34.3"," ","  10.6"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-16","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  27.6"," 7","  21.4"," 7","1031.0"," 7","019.3"," 7","  0.6"," 7","  2.5"," 6","  3.9","999.9","  34.0"," ","  12.4"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-17","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  25.1"," 7","  24.1"," 7","1027.9"," 7","016.2"," 7","  0.2"," 7","  3.7"," 7","  6.0"," 10.9","  34.0"," ","  17.8"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-18","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  26.2"," 7","  22.8"," 7","1023.9"," 7","012.2"," 7","  0.7"," 7","  4.6"," 7"," 10.3"," 17.7","  33.4"," ","  19.0"," "," 0.00","G","  1.6","100000"
"53698099999","2020-01-19","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  36.7"," 7","  15.6"," 7","1023.1"," 7","011.6"," 7","  6.4"," 7","  5.5"," 7"," 10.3"," 20.6","  45.9"," ","  20.7"," "," 0.00","G","  1.6","000000"
"53698099999","2020-01-20","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  33.1"," 7","  14.4"," 7","1027.8"," 7","016.3"," 7","  8.1"," 7","  4.7"," 7","  8.0"," 14.6","  45.9"," ","  26.8"," "," 0.00","G","  0.4","000000"
"53698099999","2020-01-21","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  32.2"," 7","  16.2"," 7","1024.3"," 7","012.8"," 7","  5.5"," 7","  3.2"," 7","  5.1","999.9","  40.8"," ","  26.8"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-22","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  31.9"," 7","  20.9"," 7","1024.4"," 7","012.8"," 7","  2.6"," 7","  2.8"," 7","  3.9","999.9","  42.1"," ","  24.4"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-23","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  35.5"," 7","  23.6"," 7","1031.3"," 7","019.8"," 7","  1.4"," 7","  3.8"," 6","  5.8","999.9","  44.2"," ","  25.0"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-24","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  33.2"," 7","  23.3"," 7","1037.1"," 7","025.4"," 7","  2.0"," 7","  2.6"," 7","  3.9","999.9","  44.2"," ","  26.2"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-25","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  32.9"," 7","  22.9"," 7","1033.3"," 7","021.7"," 7","  1.4"," 7","  2.9"," 6","  3.9","999.9","  40.5"," ","  25.0"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-26","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  32.7"," 7","  23.7"," 7","1031.5"," 7","019.9"," 7","  1.0"," 7","  2.6"," 7","  4.1","999.9","  40.5"," ","  25.2"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-27","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  37.2"," 7","  24.7"," 7","1024.3"," 7","012.8"," 7","  1.4"," 7","  4.5"," 7","  6.6"," 10.1","  45.0"," ","  26.8"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-28","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  36.9"," 7","  23.8"," 7","1025.1"," 7","013.7"," 7","  1.2"," 7","  3.7"," 7","  6.6"," 12.0","  45.0"," ","  30.2"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-29","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  37.4"," 7","  23.9"," 7","1026.3"," 7","014.9"," 7","  1.6"," 7","  2.6"," 7","  4.1","999.9","  46.0"," ","  29.1"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-30","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  35.4"," 7","  26.0"," 7","1024.9"," 7","013.5"," 7","  1.3"," 7","  3.2"," 7","  6.4"," 14.0","  46.0"," ","  26.6"," "," 0.00","G","999.9","000000"
"53698099999","2020-01-31","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  39.2"," 7","  25.5"," 7","1023.9"," 7","012.5"," 7","  1.5"," 7","  3.3"," 7","  5.8","999.9","  51.8"," ","  25.3"," "," 0.00","G","999.9","000000"
"53698099999","2020-02-01","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  37.2"," 7","  12.3"," 7","1029.0"," 7","017.6"," 7"," 12.3"," 7","  3.6"," 7","  5.8"," 12.0","  51.8"," ","  26.2"," "," 0.00","G","999.9","000000"
"53698099999","2020-02-02","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  34.2"," 7","  25.7"," 7","1028.9"," 7","017.4"," 7","  2.9"," 7","  4.1"," 7","  5.4"," 11.5","  43.0"," ","  27.3"," "," 0.00","G","999.9","000000"
"53698099999","2020-02-03","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  34.1"," 7","  23.3"," 7","1026.2"," 7","014.7"," 7","  2.3"," 7","  4.9"," 7","  9.7"," 18.8","  43.5"," ","  24.8"," "," 0.00","G","999.9","000000"
"53698099999","2020-02-04","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  33.0"," 6","  14.5"," 6","1031.1"," 6","019.5"," 6","  7.6"," 6","  4.4"," 6","  6.0"," 16.5","  43.5"," ","  24.8"," "," 0.00","G","999.9","000000"
"53698099999","2020-02-05","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  29.7"," 7","  15.6"," 7","1035.6"," 7","023.9"," 7"," 10.6"," 7","  3.9"," 7","  6.6"," 10.9","  39.2"," ","  24.1"," "," 0.00","G","999.9","000000"
"53698099999","2020-02-06","38.0666666","114.35","104.8","SHIJIAZHUANG, CH","  28.5"," 7","  22.6"," 7","1032.9"," 7","021.2"," 7","  2.7"," 7","  4.2"," 7","  5.8","999.9","  33.6"," ","  25.0"," "," 0.00","F","999.9","000000"
