"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"54342099999","2020-01-01","41.7333333","123.5166666","43.0","SHENYANG, CH","   6.6"," 8","  -2.0"," 8","1032.7"," 8","025.7"," 8","  2.9"," 8","  1.9"," 7","  3.3","999.9","  21.4"," ","  -6.2"," "," 0.00","G","  2.8","000000"
"54342099999","2020-01-02","41.7333333","123.5166666","43.0","SHENYANG, CH","   9.1"," 8","   0.8"," 8","1030.7"," 8","023.8"," 8","  1.8"," 8","  2.2"," 6","  3.9","  9.7","  24.3"," ","  -3.8"," "," 0.00","G","  0.4","000000"
"54342099999","2020-01-03","41.7333333","123.5166666","43.0","SHENYANG, CH","  13.3"," 8","   6.5"," 8","1027.3"," 8","020.4"," 8","  1.3"," 8","  2.1"," 6","  3.9","999.9","  28.4"," ","   0.5"," "," 0.00","G","  2.8","100000"
"54342099999","2020-01-04","41.7333333","123.5166666","43.0","SHENYANG, CH","  14.0"," 8","   8.1"," 8","1030.9"," 8","024.1"," 8","  0.9"," 8","  1.7"," 6","  3.1","999.9","  30.4"," ","   3.4"," "," 0.00","G","  2.8","100000"
"54342099999","2020-01-05","41.7333333","123.5166666","43.0","SHENYANG, CH","  20.4"," 8","  12.5"," 8","1031.1"," 8","024.3"," 8","  1.9"," 8","  2.2"," 8","  3.9","999.9","  32.7"," ","   4.6"," "," 0.00","G","  2.8","000000"
"54342099999","2020-01-06","41.7333333","123.5166666","43.0","SHENYANG, CH","  29.7"," 8","  23.5"," 8","1025.9"," 8","019.2"," 8","  3.2"," 8","  3.3"," 8"," 10.1"," 22.0","  33.8"," ","   7.9"," "," 0.00","G","999.9","011000"
"54342099999","2020-01-07","41.7333333","123.5166666","43.0","SHENYANG, CH","  16.1"," 8","   8.9"," 8","1023.9"," 8","017.1"," 8","  3.0"," 8","  8.1"," 8"," 11.7"," 22.9","  33.8"," ","  12.7"," "," 0.00","G","999.9","001000"
"54342099999","2020-01-08","41.7333333","123.5166666","43.0","SHENYANG, CH","  18.9"," 8","  12.9"," 8","1027.1"," 8","020.3"," 8","  5.3"," 8","  3.6"," 7","  5.8"," 17.1","  21.0"," ","  12.7"," "," 0.02","G","999.9","001000"
"54342099999","2020-01-09","41.7333333","123.5166666","43.0","SHENYANG, CH","  14.4"," 8","   8.7"," 8","1027.7"," 8","020.9"," 8","  2.3"," 8","  2.5"," 7","  3.9","999.9","  27.0"," ","   2.5"," "," 0.00","G","999.9","000000"
"54342099999","2020-01-10","41.7333333","123.5166666","43.0","SHENYANG, CH","  14.4"," 8","   6.7"," 8","1025.1"," 8","018.2"," 8","  3.9"," 8","  2.2"," 8","  5.8"," 11.8","  28.6"," ","   2.5"," "," 0.00","G","  3.1","000000"
"54342099999","2020-01-11","41.7333333","123.5166666","43.0","SHENYANG, CH","   9.5"," 7","   0.2"," 7","1026.3"," 7","019.4"," 7","  5.6"," 7","  2.3"," 5","  3.9"," 11.8","  28.6"," ","  -1.5"," "," 0.00","G","  3.1","000000"
